City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
500,Gladstone,AU,78.78,overcast clouds,-23.85,151.25,Gladstone Downtown Central
505,Moyale,KE,81.93,scattered clouds,3.5167,39.0584,Nicest
506,Ranong,TH,89.53,scattered clouds,9.9658,98.6348,Rattana Sin Hotel
507,Nicoya,CR,72.59,overcast clouds,10.1483,-85.452,Hotel marianela
515,Batemans Bay,AU,71.1,broken clouds,-35.7167,150.1833,Esplanade Hotel
519,Ballina,AU,71.78,light rain,-28.8667,153.5667,Ballina Beach Resort
525,Sabang,ID,81.75,clear sky,5.8933,95.3214,Sabang Hill
526,Arica,CL,70.03,overcast clouds,-18.475,-70.3042,Hotel Andalucía 
529,Lazaro Cardenas,MX,71.35,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
532,Banda Aceh,ID,84.61,scattered clouds,5.5577,95.3222,Hotel 61
534,Vila Velha,BR,73.35,overcast clouds,-20.3297,-40.2925,Hotel Prainha
535,Villa Carlos Paz,AR,70.39,light rain,-31.4241,-64.4978,Hoterl Victor
542,Guhagar,IN,88.05,clear sky,17.4842,73.1929,Prestige Deluxe
544,Eshowe,ZA,78.19,clear sky,-28.8865,31.4699,The George Hotel
554,Yeppoon,AU,80.38,overcast clouds,-23.1333,150.7333,Blossom's on Seaspray
562,Seddon,AU,77.31,scattered clouds,-37.8068,144.8916,Palms Hotel
568,Mitsamiouli,KM,86.29,few clouds,-11.3847,43.2844,Hotel le Paradis
570,Mbini,GQ,80.78,broken clouds,1.574,9.6134,La Trisa
571,Kyenjojo,UG,75.83,light rain,0.6328,30.6214,Galilee House
572,Oranjestad,AW,79.92,broken clouds,12.524,-70.027,Hotel California
578,Sibu,MY,71.91,heavy intensity rain,2.3,111.8167,The Paramount Hotel
580,Cairns,AU,89.06,overcast clouds,-16.9167,145.7667,Cairns Queens Court Accommodation
589,Alice Springs,AU,78.35,overcast clouds,-23.7,133.8833,Aurora Alice Springs
592,Praia,CV,70.34,few clouds,14.9215,-23.5087,Casa Sodadi
599,Sorong,ID,85.01,broken clouds,-0.8833,131.25,Hotel Membramo Marina
603,Santiago Del Estero,AR,76.21,overcast clouds,-27.7951,-64.2615,Nuevo Hotel Brístol
606,Koumac,NC,80.24,overcast clouds,-20.5667,164.2833,Monitel Koumac
607,Binga,ZW,80.31,broken clouds,-17.6203,27.3414,Lake View Inn
608,Veraval,IN,78.71,clear sky,20.9,70.3667,Shyam
617,Poso,ID,84.74,overcast clouds,-1.3959,120.7524,Nusantara
618,Bowen,AU,79.77,overcast clouds,-20.0167,148.2333,Whitsunday Sands Resort
