City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
97,Qaanaaq,GL,77.484,-69.3632,-19.08,66,0,6.69,clear sky
98,Karratha,AU,-20.7377,116.8463,87.08,45,2,15.55,clear sky
99,Isangel,VU,-19.55,169.2667,80.83,78,66,7.49,broken clouds
100,Airai,TL,-8.9266,125.4092,67.82,78,100,1.86,overcast clouds
101,Rawson,AR,-43.3002,-65.1023,58.66,36,0,17.56,clear sky
102,Doka,SD,13.5167,35.7667,82.38,23,7,13.15,clear sky
103,Nemuro,JP,43.3236,145.575,38.52,85,100,30.91,overcast clouds
104,Itarema,BR,-2.9248,-39.9167,77.47,85,100,6.78,light rain
105,Teya,RU,60.3778,92.6267,-6.27,96,100,4.03,overcast clouds
106,Narsaq,GL,60.9167,-46.05,12.42,63,0,8.52,clear sky
107,Bredasdorp,ZA,-34.5322,20.0403,74.35,52,100,6.98,overcast clouds
108,Linfen,CN,36.0889,111.5189,42.53,28,0,0.69,clear sky
109,Hami,CN,42.8,93.45,27.86,34,3,3.6,clear sky
110,Port Elizabeth,ZA,-33.918,25.5701,77.09,71,40,13.8,scattered clouds
111,Butaritari,KI,3.0707,172.7902,81.41,81,17,20.42,light rain
112,Roma,US,43.2128,-75.4557,40.73,92,100,21.85,moderate rain
113,Lagoa,PT,39.05,-27.9833,57.63,61,98,26.37,overcast clouds
114,Xai-Xai,MZ,-25.0519,33.6442,83.19,44,7,4.07,clear sky
115,Atambua,ID,-9.1061,124.8925,80.62,72,100,3.31,overcast clouds
116,Kenai,US,60.5544,-151.2583,17.65,67,0,10.36,clear sky
117,Esperance,AU,-33.8667,121.9,71.26,57,10,13.18,clear sky
118,Kodiak,US,57.79,-152.4072,36.91,87,100,27.63,light rain
119,Hasaki,JP,35.7333,140.8333,43.2,39,1,30.27,clear sky
120,Pacific Grove,US,36.6177,-121.9166,52.65,87,100,0.0,overcast clouds
121,Christchurch,NZ,-43.5333,172.6333,63.91,73,40,10.36,scattered clouds
122,Padang,ID,-0.9492,100.3543,87.85,66,100,3.87,light rain
123,Souillac,MU,-20.5167,57.5167,86.38,54,20,18.41,few clouds
124,Popondetta,PG,-8.7537,148.2534,81.5,80,85,2.95,overcast clouds
125,Tambovka,RU,50.0969,128.0489,11.21,88,42,14.88,scattered clouds
126,Morondava,MG,-20.2833,44.2833,82.6,59,90,6.91,overcast clouds
127,Ironton,US,38.5368,-82.6829,29.35,93,100,16.11,snow
128,Visby,SE,57.6409,18.296,41.22,87,75,14.97,broken clouds
129,Qasigiannguit,GL,68.8193,-51.1922,-9.72,73,8,4.92,clear sky
130,Bambous Virieux,MU,-20.3428,57.7575,86.25,54,20,18.41,few clouds
131,Khatanga,RU,71.9667,102.5,-30.89,100,6,3.24,clear sky
132,Hermanus,ZA,-34.4187,19.2345,71.8,75,100,6.38,overcast clouds
133,Mayo,US,38.8876,-76.5119,54.07,92,100,14.97,overcast clouds
134,Thinadhoo,MV,0.5333,72.9333,81.34,73,91,14.18,overcast clouds
135,Camacha,PT,33.0833,-16.3333,60.22,88,40,4.61,scattered clouds
136,Bluff,NZ,-46.6,168.3333,55.56,84,100,2.66,overcast clouds
137,Chuy,UY,-33.6971,-53.4616,63.37,78,23,9.66,few clouds
138,Deputatskiy,RU,69.3,139.9,-16.92,90,4,1.1,clear sky
139,Chengde,CN,40.9725,117.9361,18.01,25,0,6.64,clear sky
140,Jamestown,US,42.097,-79.2353,40.59,75,100,8.05,overcast clouds
141,Paamiut,GL,61.994,-49.6678,12.04,59,0,8.52,clear sky
142,San Ramon,US,37.7799,-121.978,49.37,87,75,9.22,mist
143,Tangi,PK,34.3006,71.6536,53.6,14,100,1.95,overcast clouds
144,Suez,EG,29.9737,32.5263,61.61,67,1,4.54,clear sky
145,Parkes,AU,-33.1333,148.1833,78.35,48,74,1.01,light rain
146,Sinnamary,GF,5.3833,-52.95,74.98,81,39,10.47,scattered clouds
147,Ancud,CL,-41.8697,-73.8203,46.4,84,3,5.88,clear sky
148,Santa Catalina Sur,PH,13.8717,121.4331,79.0,81,92,14.16,overcast clouds
149,Bengkulu,ID,-3.8004,102.2655,82.27,71,100,8.16,overcast clouds
150,Leningradskiy,RU,69.3833,178.4167,1.4,72,0,2.21,clear sky
151,Mount Isa,AU,-20.7333,139.5,76.77,100,75,6.91,light intensity shower rain
152,Shache,CN,38.4167,77.2406,35.73,27,100,2.46,overcast clouds
153,Aswan,EG,24.0934,32.907,60.1,44,0,5.75,clear sky
154,Srednekolymsk,RU,67.45,153.6833,-20.24,88,3,4.0,clear sky
155,Oranjemund,NA,-28.55,16.4333,68.74,73,11,11.14,few clouds
156,Chokurdakh,RU,70.6333,147.9167,-15.02,92,3,3.44,clear sky
157,Manvi,IN,15.9833,77.05,85.23,31,15,7.02,few clouds
158,Yar-Sale,RU,66.8333,70.8333,-3.23,99,92,8.37,overcast clouds
159,Parksville,CA,49.3163,-124.3195,24.73,95,100,13.8,snow
160,Funehiki,JP,37.4333,140.5833,36.01,67,25,9.17,scattered clouds
161,Springdale,US,36.1867,-94.1288,-2.09,72,40,18.41,scattered clouds
162,Armeria,MX,18.9333,-103.9667,69.98,72,29,4.34,scattered clouds
163,Qaqortoq,GL,60.7167,-46.0333,8.47,65,0,8.03,clear sky
164,Palencia,ES,42.4167,-4.5,50.11,84,100,19.22,overcast clouds
165,Oktyabrskiy,RU,54.4815,53.471,32.79,95,100,13.51,overcast clouds
166,Iqaluit,CA,63.7506,-68.5145,10.13,84,100,2.3,light snow
167,Tarakan,ID,3.3,117.6333,83.16,70,100,2.26,overcast clouds
168,Molokovo,RU,58.1661,36.7628,33.22,100,100,10.92,light snow
169,Nome,US,64.5011,-165.4064,21.27,58,0,19.57,clear sky
170,Longyearbyen,SJ,78.2186,15.6401,10.24,72,75,20.71,broken clouds
171,Salinopolis,BR,-0.6136,-47.3561,75.74,90,100,2.46,overcast clouds
172,Kuala Lipis,MY,4.1842,102.0468,83.84,70,100,1.74,overcast clouds
173,Tuktoyaktuk,CA,69.4541,-133.0374,-14.94,98,100,14.72,overcast clouds
174,Kaitangata,NZ,-46.2817,169.8464,56.34,91,53,3.98,broken clouds
175,Meulaboh,ID,4.1363,96.1285,83.53,71,27,7.83,scattered clouds
176,Prince George,CA,53.9166,-122.753,-15.36,69,75,5.75,broken clouds
177,Dauphin,CA,51.1494,-100.0502,-9.26,70,0,9.22,clear sky
178,Yulara,AU,-25.2406,130.9889,83.1,47,99,12.88,overcast clouds
179,Ulaanbaatar,MN,47.9077,106.8832,5.13,66,24,2.24,few clouds
180,Acapulco,MX,16.8634,-99.8901,74.59,85,44,4.21,scattered clouds
181,San Pedro,PH,14.35,121.0167,83.43,64,75,14.97,broken clouds
182,Guadalupe Y Calvo,MX,26.1,-106.9667,37.99,29,0,5.82,clear sky
183,Caravelas,BR,-17.7125,-39.2481,71.96,98,100,5.19,overcast clouds
184,Gberia Fotombu,SL,9.8833,-11.1667,64.36,33,39,5.01,scattered clouds
185,Cascais,PT,38.6979,-9.4215,63.52,97,40,8.99,scattered clouds
186,Corn Island,NI,12.1694,-83.0418,80.11,78,85,19.08,overcast clouds
187,Mount Gambier,AU,-37.8333,140.7667,63.37,69,12,10.78,few clouds
188,Salto,UY,-31.3833,-57.9667,72.48,50,9,9.26,clear sky
189,Fort-Shevchenko,KZ,44.5086,50.263,38.97,60,2,23.38,clear sky
190,Atbasar,KZ,51.8,68.3333,13.21,86,100,19.3,overcast clouds
191,Hobart,AU,-42.8794,147.3294,69.26,80,100,2.59,overcast clouds
192,Georgetown,MY,5.4112,100.3354,89.53,70,20,9.22,few clouds
193,Tual,ID,-5.6667,132.75,84.51,72,100,8.48,overcast clouds
194,Chesma,RU,53.8111,60.6533,29.43,85,100,19.13,overcast clouds
195,San Patricio,US,28.017,-97.5169,26.69,35,0,20.76,clear sky
196,Luderitz,NA,-26.6481,15.1594,71.73,66,1,14.52,clear sky
197,Diffa,NE,13.3154,12.6113,66.33,33,100,10.96,overcast clouds
198,Klaksvik,FO,62.2266,-6.589,31.12,66,100,19.1,overcast clouds
199,Killarney,IE,52.05,-9.5167,48.74,97,100,8.14,overcast clouds
200,Kahului,US,20.8947,-156.47,73.42,80,0,10.36,clear sky
201,Tomatlan,MX,19.9333,-105.25,66.31,64,0,2.75,clear sky
202,Homer,US,59.6425,-151.5483,35.47,69,20,9.22,few clouds
203,Port Macquarie,AU,-31.4333,152.9167,72.9,89,100,6.51,overcast clouds
204,Conway,US,35.0887,-92.4421,4.98,74,100,16.11,overcast clouds
205,Marzuq,YE,14.4,46.4667,76.93,26,73,2.91,broken clouds
206,Sao Filipe,CV,14.8961,-24.4956,74.66,57,0,10.69,clear sky
207,Vanavara,RU,60.34,102.2797,-14.4,99,27,3.6,scattered clouds
208,Byron Bay,AU,-28.65,153.6167,71.94,84,100,9.86,light rain
209,Fare,PF,-16.7,-151.0167,80.19,77,45,13.82,light rain
210,Severo-Kurilsk,RU,50.6789,156.125,33.35,83,95,33.2,overcast clouds
211,Egvekinot,RU,66.3167,-179.1667,11.25,50,0,18.3,clear sky
212,Los Llanos De Aridane,ES,28.6585,-17.9182,59.13,51,20,11.01,few clouds
213,Port-Gentil,GA,-0.7193,8.7815,76.96,94,75,3.44,broken clouds
214,Fort Nelson,CA,58.8053,-122.7002,-36.06,77,20,3.44,few clouds
215,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,83,100,12.15,light rain
216,Coahuayana,MX,18.7333,-103.6833,69.85,68,60,3.83,broken clouds
217,Bolobo,CD,-2.1667,16.2333,71.89,90,100,4.16,overcast clouds
218,Lac Du Bonnet,CA,50.2536,-96.0612,-4.5,92,100,13.56,overcast clouds
219,Talaya,RU,61.3833,152.75,-30.32,97,98,1.03,overcast clouds
220,Cumana,VE,10.4635,-64.1775,72.55,65,0,6.22,clear sky
221,Birobidzhan,RU,48.8,132.95,13.77,92,12,5.1,few clouds
222,Tuatapere,NZ,-46.1333,167.6833,53.46,92,100,4.09,overcast clouds
223,Saint-Pierre,RE,-21.3393,55.4781,83.88,61,0,9.22,clear sky
224,Fortuna,US,40.5982,-124.1573,57.92,91,100,8.05,overcast clouds
225,Vao,NC,-22.6667,167.4833,79.2,80,4,11.74,clear sky
226,Kariba,ZW,-16.5167,28.8,77.04,60,92,4.36,overcast clouds
227,Sun Prairie,US,43.1836,-89.2137,-10.5,77,20,12.66,few clouds
228,Taree,AU,-31.9,152.4667,73.98,90,100,3.91,moderate rain
229,Batagay,RU,67.6333,134.6333,-27.06,99,94,3.65,overcast clouds
230,Bayonet Point,US,28.3267,-82.6834,70.95,95,0,1.99,clear sky
231,Vardo,NO,70.3705,31.1107,26.58,80,75,19.57,broken clouds
232,Rocha,UY,-34.4833,-54.3333,60.03,86,98,10.18,overcast clouds
233,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,64,75,13.42,broken clouds
234,Karabulak,RU,43.3036,44.8964,36.59,71,3,1.19,clear sky
235,Carnarvon,AU,-24.8667,113.6333,81.32,64,45,16.17,scattered clouds
236,Port Hardy,CA,50.6996,-127.4199,26.78,93,100,34.52,freezing rain
237,Kurchum,KZ,48.5722,83.6542,4.06,94,100,2.71,overcast clouds
238,Nikolskoye,RU,59.7035,30.7861,33.69,100,100,4.03,light snow
239,Buraydah,SA,26.326,43.975,61.25,30,100,17.31,light rain
240,Wates,ID,-8.1326,111.9541,79.52,82,100,10.04,light rain
241,Kaeo,NZ,-35.1,173.7833,63.01,79,72,4.88,broken clouds
242,Gevrai,IN,19.2667,75.75,86.86,23,7,1.41,clear sky
243,Vuktyl,RU,63.8567,57.3094,21.38,95,100,9.51,light snow
244,Pevek,RU,69.7008,170.3133,-4.5,86,4,3.78,clear sky
245,Komsomolskiy,UZ,40.4272,71.7189,36.32,75,100,4.61,mist
246,Cape Town,ZA,-33.9258,18.4232,72.37,76,20,8.05,few clouds
247,Tezu,IN,27.9167,96.1667,77.47,31,16,3.56,few clouds
248,Faanui,PF,-16.4833,-151.75,80.47,77,20,14.41,few clouds
249,Grootfontein,NA,-19.5667,18.1167,78.37,47,0,5.75,clear sky
250,Ossora,RU,59.2353,163.0719,11.03,68,100,6.91,overcast clouds
251,Kentau,KZ,43.5206,68.5094,33.55,41,73,4.36,broken clouds
252,Yongan,CN,39.6957,113.6871,20.97,44,4,5.82,clear sky
253,Price,US,39.5994,-110.8107,27.66,43,100,0.0,overcast clouds
254,Toora-Khem,RU,52.4675,96.11,8.98,86,100,2.59,overcast clouds
255,Vostok,RU,46.4856,135.8833,14.13,97,100,3.47,overcast clouds
256,Zyryanka,RU,65.75,150.85,-34.31,100,70,4.92,broken clouds
257,Avera,US,33.194,-82.5271,50.38,85,87,20.51,overcast clouds
258,Nhulunbuy,AU,-12.2333,136.7667,88.41,70,40,11.5,scattered clouds
259,Pandamatenga,BW,-18.5278,25.627,76.96,50,20,8.88,few clouds
260,Barraute,CA,48.4335,-77.6328,25.07,94,100,14.07,snow
261,Palana,RU,59.1167,159.9667,16.2,62,100,12.28,overcast clouds
262,Aitape,PG,-3.1374,142.3475,82.45,84,44,8.61,scattered clouds
263,Riyadh,SA,24.6877,46.7219,66.34,30,100,22.15,overcast clouds
264,Chara,RU,56.9064,118.2631,-14.55,71,3,1.32,clear sky
265,Hambantota,LK,6.1241,81.1185,88.14,74,20,4.61,few clouds
266,Alta Floresta,BR,-9.8756,-56.0861,68.52,99,100,3.15,overcast clouds
267,Fairbanks,US,64.8378,-147.7164,-14.4,68,0,0.0,clear sky
268,Plettenberg Bay,ZA,-34.0527,23.3716,71.89,70,83,7.9,broken clouds
269,Muroto,JP,33.2833,134.15,40.15,67,91,27.89,overcast clouds
270,Yerofey Pavlovich,RU,53.9667,121.9667,-3.41,97,100,3.24,overcast clouds
271,Puerto Baquerizo Moreno,EC,-0.9,-89.6,71.67,88,80,6.76,broken clouds
272,Sayyan,YE,15.1718,44.3244,63.59,34,56,4.61,broken clouds
273,Nurota,UZ,40.5614,65.6886,36.75,26,0,12.33,clear sky
274,Westport,US,41.1415,-73.3579,58.77,88,100,8.99,overcast clouds
275,Graham,US,47.0529,-122.2943,25.61,74,100,1.99,light intensity drizzle
276,Sangar,RU,63.9242,127.4739,-23.44,98,99,3.18,overcast clouds
277,Badiraguato,MX,25.3667,-107.5167,58.33,41,0,5.01,clear sky
278,Kut Chap,TH,17.4257,102.5669,82.18,43,51,4.97,broken clouds
279,Impfondo,CG,1.6381,18.0667,83.52,59,100,3.56,overcast clouds
280,Quatre Cocos,MU,-20.2078,57.7625,86.11,62,98,11.48,overcast clouds
281,Urussu,RU,54.5981,53.4631,33.12,94,100,13.15,overcast clouds
282,Adavere,EE,58.7086,25.8994,33.91,100,100,6.08,overcast clouds
283,Kosh-Agach,RU,50.0,88.6667,-5.78,95,60,1.01,broken clouds
284,Upernavik,GL,72.7868,-56.1549,-0.31,94,14,15.66,few clouds
285,Namibe,AO,-15.1961,12.1522,71.49,71,73,4.97,broken clouds
286,Geraldton,AU,-28.7667,114.6,97.21,20,2,18.41,clear sky
287,Benguela,AO,-12.5763,13.4055,77.05,68,99,4.65,overcast clouds
288,Kushima,JP,31.4583,131.2333,41.38,77,27,18.12,scattered clouds
289,Codrington,AU,-38.2667,141.9667,64.33,75,26,16.08,scattered clouds
290,Kirakira,SB,-10.4544,161.9205,79.59,86,100,3.51,overcast clouds
291,Mecca,SA,21.4267,39.8261,76.1,64,69,17.76,broken clouds
292,Laguna,US,38.421,-121.4238,48.18,91,100,5.75,mist
293,Puerto Escondido,MX,15.85,-97.0667,75.87,78,49,4.83,scattered clouds
294,Sri Aman,MY,1.2376,111.4621,71.65,94,40,7.0,moderate rain
295,Saint-Francois,FR,46.4154,3.9054,56.64,88,75,11.5,broken clouds
296,Beringovskiy,RU,63.05,179.3167,27.97,64,5,25.12,clear sky
297,Duliagaon,IN,27.3667,95.3167,76.87,37,22,2.35,few clouds
298,Maniitsoq,GL,65.4167,-52.9,15.64,66,12,5.35,few clouds
299,Alta Gracia,AR,-31.6529,-64.4283,71.89,52,7,3.83,light rain
300,Udachnyy,RU,66.4167,112.4,-10.55,83,100,5.14,overcast clouds
301,Olafsvik,IS,64.8945,-23.7142,25.97,61,54,10.45,broken clouds
302,Nola,IT,40.922,14.5329,60.39,88,89,3.24,overcast clouds
303,Belokurikha,RU,51.9959,84.9896,8.62,93,97,2.51,overcast clouds
304,Nuristan,AF,35.3,70.8333,22.77,25,100,3.38,overcast clouds
305,Asau,RO,46.4333,26.4,25.72,77,100,4.32,overcast clouds
306,Ahipara,NZ,-35.1667,173.1667,62.46,88,61,4.56,broken clouds
307,Alencon,FR,48.4333,0.0833,56.21,95,100,17.31,moderate rain
308,Labuhan,ID,-6.8844,112.2051,80.47,82,100,18.19,moderate rain
309,Erzin,TR,36.9559,36.2,60.08,49,4,2.48,clear sky
310,Yatou,CN,37.15,122.3833,25.07,64,98,22.1,overcast clouds
311,Grand Forks,US,47.9417,-97.4337,-9.67,70,100,20.71,overcast clouds
312,Ulladulla,AU,-35.35,150.4667,67.24,75,67,2.51,broken clouds
313,Montmagny,FR,48.9734,2.3469,57.02,96,75,10.36,broken clouds
314,Batagay-Alyta,RU,67.8006,130.4114,-10.77,100,95,3.04,overcast clouds
315,Waingapu,ID,-9.6567,120.2641,82.56,76,100,7.47,overcast clouds
316,Lamu,KE,-2.2717,40.902,88.02,70,100,13.13,overcast clouds
317,Nuuk,GL,64.1835,-51.7216,10.13,71,8,7.16,clear sky
318,Villa Guerrero,MX,18.8667,-99.65,67.28,61,57,3.6,broken clouds
319,Ust-Ishim,RU,57.6935,71.1665,12.78,93,100,12.48,light snow
320,Otjimbingwe,NA,-22.35,16.1333,87.85,31,32,9.44,scattered clouds
